tic_id,signal_num,period,epoch,depth,duration,sde,fap,method,filepath,classification,confidence
s0001,1,6.26991652011639,1325.5024466051937,0.0002714432102990383,0.12028451640556018,14.334919617493105,6.619987872336507e-47,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\['261136679']_s0001_processed.pkl,PLANET,0.5089047387998599
s0001,1,1.5517948388210445,1326.2145813872637,0.00038482908684611683,0.030812118539862984,7.181667323655179,3.443316599905373e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_121470987_s0001_processed.pkl,PLANET,0.4883159111062633
s0001,1,2.187272026053691,1326.5477135288772,0.0011964551322281025,0.026714751260992986,15.533054190653504,1.036342221456868e-54,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_144065872_s0001_processed.pkl,PLANET,0.5203645734234332
s0001,2,2.181869758245949,1326.4551686019356,0.0006106525843261323,0.02651489771761575,9.569904992718085,5.350197907269879e-22,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_144065872_s0001_processed.pkl,OTHER,0.36354201854475776
s0001,1,4.413349247018318,1326.006908390758,0.0012068892934945508,0.033738470694701136,16.902265273360314,2.164747779087959e-64,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl,PLANET,0.5564640495360345
s0001,2,4.413349247018318,1325.9789793856562,0.0008760689062157212,0.03353844006583077,9.202379617941677,1.750544918680782e-20,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl,PLANET,0.403079341553775
s0001,3,4.413349247018318,1325.9520606893445,0.0009738488026488357,0.03331988823678201,11.306930544605045,6.0628786809390005e-30,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl,PLANET,0.5594430182076431
s0001,1,0.6084132969566124,1325.6221541181521,0.005371536929719367,0.042561924235153606,7.489592022582097,3.4544015164839277e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_150437899_s0001_processed.pkl,PLANET,0.39135597139294953
s0001,1,2.2089907172488674,1325.4394612021842,0.0008476029899697757,0.02806582392412541,7.324853992292279,1.1957947806567517e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_167600516_s0001_processed.pkl,PLANET,0.48908308927639454
s0001,1,3.431153221253038,1326.0557639721296,0.002556071016516781,0.03068488652643118,16.206501515315775,2.268348467347978e-59,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_183979262_s0001_processed.pkl,PLANET,0.5944381021011649
s0001,2,1.7166050980475513,1326.1156915073936,0.0008309099864316494,0.0636398384832338,11.59968318100423,2.068032880335258e-31,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_183979262_s0001_processed.pkl,PLANET,0.5275834918831392
s0001,3,1.7166050980475513,1326.0566956578718,0.00030546567470057795,0.014720543174763597,8.326630416641608,4.158795086088139e-17,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_183979262_s0001_processed.pkl,PLANET,0.5988166132794206
s0001,1,0.9802004344396671,1326.1093737353958,0.005611713719413491,0.025240177532797378,17.67715123926037,3.1447428227719075e-70,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_201248411_s0001_processed.pkl,PLANET,0.5294619717219148
s0001,1,0.6703105414436596,1325.8278487630362,0.018690468174367147,0.022966298584304847,12.978985443942015,8.049953048589604e-39,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_206609630_s0001_processed.pkl,PLANET,0.4189132946268167
s0001,2,0.6703105414436596,1325.493648585789,0.016806906221898732,0.02283043094290686,17.563658423683997,2.3380951228956586e-69,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_206609630_s0001_processed.pkl,PLANET,0.5247919308469111
s0001,1,4.110698475908808,1327.2758526499108,0.0006809543538119911,0.06173865627829349,7.068727998264115,7.818014304606049e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_219338557_s0001_processed.pkl,PLANET,0.6037362156378097
s0001,1,1.4316174455795818,1326.0036994798381,0.017482479294022024,0.05863426246366999,13.658673671935276,8.960914169419535e-43,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_231663901_s0001_processed.pkl,PLANET,0.6018198409882292
s0001,1,4.085571252342955,1327.6747844012282,0.0025424424688635927,0.21313690508958574,10.473702632856162,5.704560422267884e-26,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_231670397_s0001_processed.pkl,PLANET,0.3918420375141095
s0001,1,3.7896780540129624,1325.6588207974537,0.04847987691898015,0.07454939503584791,13.458143357999976,1.3787918414897867e-41,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_234523599_s0001_processed.pkl,PLANET,0.416727514267184
s0001,1,1.4013525236909772,1326.0330292156134,0.0005474782043013438,0.048525446814332844,11.387183510290313,2.42197410838462e-30,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_234994474_s0001_processed.pkl,PLANET,0.4433319172894991
s0001,1,6.248068311974373,1326.065438447952,0.006938158206394207,0.047522429445978134,17.840115370967535,1.7249146438336941e-71,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_235037761_s0001_processed.pkl,PLANET,0.43503084108094425
s0001,2,6.404144541058339,1325.4158588846747,0.0007581454562507473,0.280671425284983,7.169295634135936,3.769230477106747e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_235037761_s0001_processed.pkl,PLANET,0.5489520070507644
s0001,1,2.801245244600871,1326.7215554232193,0.0025289163001444015,0.027005640736833366,17.597055108603417,1.297349518103819e-69,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_238176110_s0001_processed.pkl,PLANET,0.48298229053769465
s0001,2,2.7937327492931416,1326.6482558910402,0.0013612897041745953,0.026822230754832744,8.47186620246772,1.2074621460976598e-17,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_238176110_s0001_processed.pkl,PLANET,0.5392112294679889
s0001,1,3.2873761966957904,1327.5241158199276,0.006994433081714102,0.13196997404971741,12.410447285236401,1.1468391972669476e-35,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_25155310_s0001_processed.pkl,PLANET,0.5405774311685805
s0001,1,2.310804818615995,1325.5841563300958,0.006527056359655448,0.1286338674971433,15.805906343160418,1.4164331310276545e-56,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_25375553_s0001_processed.pkl,PLANET,0.4186406655041721
s0001,1,3.133960203312556,1327.0765146381932,0.00028037058671892545,0.14535231991389802,7.374995224259099,8.21754717473824e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260043723_s0001_processed.pkl,PLANET,0.4518156827002126
s0001,1,5.652863673829873,1330.093969990643,0.036714761056330425,0.13548610077380815,10.6542472981103,8.329339231816016e-27,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260271203_s0001_processed.pkl,BLEND,0.3823141866221207
s0001,1,1.0241183346307179,1326.2970529080155,0.005215410382282459,0.04844561971476932,11.224314692806743,1.548893570728381e-29,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260304296_s0001_processed.pkl,PLANET,0.5541072740914497
s0001,2,1.025778521799383,1325.775367586737,0.004644656388365087,0.050514385308079675,13.851531453872413,6.226424036938475e-44,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260304296_s0001_processed.pkl,PLANET,0.542194939226093
s0001,1,4.469000648754231,1328.7483217443569,0.014567289358991431,0.19372054663997626,10.536587063703003,2.929329832619182e-26,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260609205_s0001_processed.pkl,PLANET,0.5842630604457366
s0001,1,2.047414726901145,1326.7817838128583,0.00018562555133150305,0.030865956630664867,7.535287233240047,2.436305361627964e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260655847_s0001_processed.pkl,PLANET,0.5454590615288919
s0001,1,6.26991652011639,1325.5024466051937,0.0002714432102990383,0.12028451640556018,14.334919617493105,6.619987872336507e-47,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_261136679_s0001_processed.pkl,PLANET,0.5618446591050112
s0001,1,6.033822714173585,1329.1989090758057,0.001544903057250968,0.08418011409610368,13.626066535351109,1.4014268546602973e-42,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_266980320_s0001_processed.pkl,PLANET,0.5102051231668674
s0001,1,4.123172218145842,1325.704023218739,0.001241598606515626,0.027262684803319392,20.00401831775278,2.5404559508368354e-89,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_267263253_s0001_processed.pkl,PLANET,0.5497952580281718
s0001,2,4.135798927649554,1325.862916664627,0.0006961266463171301,0.027082380083736857,10.805842429906608,1.6148929150466157e-27,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_267263253_s0001_processed.pkl,PLANET,0.4498790313412168
s0001,1,6.204328985732564,1328.0557778925793,0.003288855690505299,0.06957730509990048,13.098620521519805,1.6764820428039206e-39,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_277683130_s0001_processed.pkl,PLANET,0.5140388747457119
s0001,1,2.192656317635813,1327.3611258268652,0.0047310858161194735,0.054680891509641366,13.042923729042997,3.4865417824443015e-39,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_278866211_s0001_processed.pkl,PLANET,0.39357072441862784
s0001,1,0.7421173592576923,1325.989692095492,0.0009136076842474194,0.045511401125993195,8.996280345188085,1.1674727585192746e-19,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_279740441_s0001_processed.pkl,PLANET,0.4081706484648882
s0001,1,3.178127638402991,1328.0356730414246,0.012825410631276846,0.09923576710537724,10.377658561672478,1.5668320293259317e-25,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_281459670_s0001_processed.pkl,PLANET,0.6009720178148887
s0001,1,4.74663656260111,1329.898624045789,0.011936023435745846,0.06957797711038702,9.056920557492171,6.709263202415381e-20,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_281541555_s0001_processed.pkl,PLANET,0.37804134218964
s0001,1,3.0397304152801783,1328.0934509272868,0.021107510496025883,0.09927741462650841,10.737180975699085,3.404592510604419e-27,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_289793076_s0001_processed.pkl,PLANET,0.501312324042679
s0001,1,3.3060804465139455,1325.379501743221,0.0032910053749756196,0.234016609986554,12.587026744959571,1.2443606165612133e-36,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_290131778_s0001_processed.pkl,PLANET,0.4487221614326983
s0001,1,2.7639362995042935,1326.1334424009028,0.011991255977267135,0.10568796338569542,11.074085308978214,8.379132405912585e-29,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_29344935_s0001_processed.pkl,PLANET,0.5397291770138086
s0001,1,1.8440164149973706,1326.5439750448732,0.0020187469531451896,0.051561837014501365,11.529535517241557,4.68237952717225e-31,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_29831208_s0001_processed.pkl,PLANET,0.5695233337046718
s0001,1,4.110596875859115,1325.4283501848897,0.00045708030616198325,0.04629879501900767,7.504893286227662,3.073933167427683e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_299799658_s0001_processed.pkl,PLANET,0.5672239948959055
s0001,1,6.5653292684869236,1329.251542973706,0.0015059982818871331,0.06326538464730978,11.92842064286891,4.2077478123448876e-33,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300293197_s0001_processed.pkl,PLANET,0.6169782598105696
s0001,1,4.823224357528428,1327.3210509969178,0.002272010694654214,0.03401604010440712,11.500385152287054,6.566404521010425e-31,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300871545_s0001_processed.pkl,PLANET,0.581923160350382
s0001,2,2.4063705792705927,1327.4028982920713,0.0010314417574665002,0.05792666265442343,10.289487046727528,3.9296969281168784e-25,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300871545_s0001_processed.pkl,PLANET,0.5319623686004223
s0001,3,3.334281855971624,1327.9229726750686,0.000489096447678139,0.09477186420917778,7.508349203343481,2.993880326819468e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300871545_s0001_processed.pkl,PLANET,0.4751751736374267
s0001,1,1.0983413259041495,1325.4639788188074,0.0010278491708600734,0.1306676902392064,7.327134602257464,1.1756282203142394e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_30312676_s0001_processed.pkl,PLANET,0.4107460232163938
s0001,1,0.6244382135849283,1325.3429234710939,0.0018664213947071628,0.024017609347298147,7.619073002377683,1.2775196988707834e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_316937670_s0001_processed.pkl,PLANET,0.5217575388779574
s0001,1,3.5522576913064094,1327.246261858433,0.0103148449046091,0.13210991403053463,11.77823047784828,2.527149493884661e-32,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_336732616_s0001_processed.pkl,PLANET,0.5331994263295357
s0001,1,2.165687512318885,1326.657329862839,0.006599641030052061,0.14187277249586885,8.750430696583765,1.0626999802628124e-18,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_349518800_s0001_processed.pkl,PLANET,0.397764888520684
s0001,1,1.5517005189087465,1325.93717722984,0.004330200484065516,0.09457175998997128,9.998193938411747,7.760084661528165e-24,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_349790953_s0001_processed.pkl,PLANET,0.37154120242913447
s0001,1,3.191118722970938,1342.7548554361958,0.003191070221424286,0.04299272823263155,8.083136312915354,3.15610002234834e-16,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_350445771_s0001_processed.pkl,PLANET,0.5133630661950369
s0001,1,1.7324309206818285,1326.1323444457162,0.01001000656305051,0.06604150720585832,7.094282842837228,6.501198274058192e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_355509914_s0001_processed.pkl,PLANET,0.5005905751629495
s0001,1,2.1080706556894464,1326.099627399966,0.010550731070662955,0.04518615571214532,13.670075044859034,7.661853626128972e-43,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_355703913_s0001_processed.pkl,PLANET,0.6004411235741611
s0001,1,0.9196848510732661,1326.0602154655408,0.007984568624063493,0.04563841282431355,15.379161638844304,1.129265446154274e-53,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_373844472_s0001_processed.pkl,PLANET,0.5264812442073463
s0001,1,2.50109308224769,1327.405143916293,0.013918048762553092,0.10529540269215137,13.503752737303861,7.430462142310397e-42,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_388104525_s0001_processed.pkl,PLANET,0.5316299343552263
s0001,1,2.85224019564766,1329.5893819264388,0.007523828881867756,0.1382618675817755,12.104632390205127,4.990776735915157e-34,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_38846515_s0001_processed.pkl,PLANET,0.6059995396809525
